eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035195,安康旬阳红军乡红军纪念馆-HLH-AKCO584TL,AKCO584TL-2,265009922,安康旬阳红军乡红军纪念馆-HLH-AKCO584TL-2,lte,109.548333,33.105,宏站
1035263,安康旬阳红军乡庄院村-HLH-AKCO652TL,AKCO652TL-0,265027328,安康旬阳红军乡庄院村-HLH-AKCO652TL-0,lte,109.4125,33.113888,宏站
1035263,安康旬阳红军乡庄院村-HLH-AKCO652TL,AKCO652TL-1,265027329,安康旬阳红军乡庄院村-HLH-AKCO652TL-1,lte,109.4125,33.113888,宏站
1035263,安康旬阳红军乡庄院村-HLH-AKCO652TL,AKCO652TL-2,265027330,安康旬阳红军乡庄院村-HLH-AKCO652TL-2,lte,109.4125,33.113888,宏站
1035215,安康旬阳胡家庄-HLH-AKCO604TL,AKCO604TL-0,265015040,安康旬阳胡家庄-HLH-AKCO604TL-0,lte,109.185833,32.969166,宏站
1035215,安康旬阳胡家庄-HLH-AKCO604TL,AKCO604TL-1,265015041,安康旬阳胡家庄-HLH-AKCO604TL-1,lte,109.185833,32.969166,宏站
1035215,安康旬阳胡家庄-HLH-AKCO604TL,AKCO604TL-2,265015042,安康旬阳胡家庄-HLH-AKCO604TL-2,lte,109.185833,32.969166,宏站
1035295,安康旬阳焦山-HLH-AKCO684TL,AKCO684TL-0,265035520,安康旬阳焦山-HLH-AKCO684TL-0,lte,109.618611,33.010555,宏站
1035295,安康旬阳焦山-HLH-AKCO684TL,AKCO684TL-1,265035521,安康旬阳焦山-HLH-AKCO684TL-1,lte,109.618611,33.010555,宏站
1035295,安康旬阳焦山-HLH-AKCO684TL,AKCO684TL-2,265035522,安康旬阳焦山-HLH-AKCO684TL-2,lte,109.618611,33.010555,宏站
1035698,安康旬阳金盆-HLH-AKDO088TL,AKDO088TL-0,265138688,安康旬阳金盆-HLH-AKDO088TL-0,lte,109.685,33.079444,宏站
1035698,安康旬阳金盆-HLH-AKDO088TL,AKDO088TL-1,265138689,安康旬阳金盆-HLH-AKDO088TL-1,lte,109.685,33.079444,宏站
1035698,安康旬阳金盆-HLH-AKDO088TL,AKDO088TL-2,265138690,安康旬阳金盆-HLH-AKDO088TL-2,lte,109.685,33.079444,宏站
1035667,安康旬阳金园村-HLH-AKDO057TL,AKDO057TL-0,265130752,安康旬阳金园村-HLH-AKDO057TL-0,lte,109.204166,33.044722,宏站
1035667,安康旬阳金园村-HLH-AKDO057TL,AKDO057TL-1,265130753,安康旬阳金园村-HLH-AKDO057TL-1,lte,109.204166,33.044722,宏站
1035667,安康旬阳金园村-HLH-AKDO057TL,AKDO057TL-2,265130754,安康旬阳金园村-HLH-AKDO057TL-2,lte,109.204166,33.044722,宏站
1035640,安康旬阳金寨寨河口-HLH-AKDO030TL,AKDO030TL-0,265123840,安康旬阳金寨寨河口-HLH-AKDO030TL-0,lte,109.477222,32.697777,宏站
1035640,安康旬阳金寨寨河口-HLH-AKDO030TL,AKDO030TL-1,265123841,安康旬阳金寨寨河口-HLH-AKDO030TL-1,lte,109.477222,32.697777,宏站
1035640,安康旬阳金寨寨河口-HLH-AKDO030TL,AKDO030TL-2,265123842,安康旬阳金寨寨河口-HLH-AKDO030TL-2,lte,109.477222,32.697777,宏站
